trial,H1,C1,L1_after_P1,p1_in_tokyo_after_P1,P2_mode,C2,L1_after_P2,P3_hits_P1,C3,P1_survives
155,2,1,4,False,Tokyo/clawmax,5.0,-1,False,,False
156,5,0,7,False,Tokyo/clawmax,3.0,4,False,,True
157,1,1,3,False,Tokyo/clawmax,4.0,-1,False,,False
158,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
159,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
160,0,1,2,False,Tokyo/clawmax,4.0,-2,False,,False
161,2,1,4,False,Tokyo/clawmax,1.0,3,False,,True
162,1,1,3,False,Tokyo/clawmax,2.0,1,False,,True
163,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
164,1,0,3,False,Tokyo/clawmax,2.0,1,False,,True
165,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
166,3,0,5,False,Tokyo/clawmax,3.0,2,False,,True
167,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
168,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
169,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
170,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
171,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
172,0,1,2,False,Tokyo/clawmax,1.0,1,False,,True
173,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
174,4,1,6,False,Tokyo/clawmax,4.0,2,False,,True
175,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
176,3,0,5,False,Tokyo/clawmax,5.0,0,False,,False
177,2,2,3,False,Tokyo/clawmax,,3,False,,True
178,3,0,5,False,Tokyo/clawmax,1.0,4,False,,True
179,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
180,4,2,5,True,Outside/heartmax,,5,True,4.0,True
181,4,1,6,False,Tokyo/clawmax,2.0,4,False,,True
182,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
183,3,0,5,False,Tokyo/clawmax,1.0,4,False,,True
184,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
185,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
